Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
MCX,mcx_fo,NATURALGAS,245391,OPTFUT,PE,855,NATURALGAS22OCT855PE,NATURALGAS22OCT855PE,NATURALGAS 21OCT22 855 PE,2022-10-21,1250,0.05
MCX,mcx_fo,NATURALGAS,245392,OPTFUT,CE,860,NATURALGAS22OCT860CE,NATURALGAS22OCT860CE,NATURALGAS 21OCT22 860 CE,2022-10-21,1250,0.05
MCX,mcx_fo,NATURALGAS,245393,OPTFUT,PE,860,NATURALGAS22OCT860PE,NATURALGAS22OCT860PE,NATURALGAS 21OCT22 860 PE,2022-10-21,1250,0.05
MCX,mcx_fo,NATURALGAS,245394,OPTFUT,CE,865,NATURALGAS22OCT865CE,NATURALGAS22OCT865CE,NATURALGAS 21OCT22 865 CE,2022-10-21,1250,0.05
MCX,mcx_fo,NATURALGAS,245395,OPTFUT,PE,865,NATURALGAS22OCT865PE,NATURALGAS22OCT865PE,NATURALGAS 21OCT22 865 PE,2022-10-21,1250,0.05
MCX,mcx_fo,NATURALGAS,246040,OPTFUT,CE,870,NATURALGAS22OCT870CE,NATURALGAS22OCT870CE,NATURALGAS 21OCT22 870 CE,2022-10-21,1250,0.05
MCX,mcx_fo,NATURALGAS,246041,OPTFUT,PE,870,NATURALGAS22OCT870PE,NATURALGAS22OCT870PE,NATURALGAS 21OCT22 870 PE,2022-10-21,1250,0.05
MCX,mcx_fo,NATURALGAS,246042,OPTFUT,CE,875,NATURALGAS22OCT875CE,NATURALGAS22OCT875CE,NATURALGAS 21OCT22 875 CE,2022-10-21,1250,0.05
MCX,mcx_fo,NATURALGAS,246043,OPTFUT,PE,875,NATURALGAS22OCT875PE,NATURALGAS22OCT875PE,NATURALGAS 21OCT22 875 PE,2022-10-21,1250,0.05
MCX,mcx_fo,NATURALGAS,246044,OPTFUT,CE,880,NATURALGAS22OCT880CE,NATURALGAS22OCT880CE,NATURALGAS 21OCT22 880 CE,2022-10-21,1250,0.05
MCX,mcx_fo,NATURALGAS,246045,OPTFUT,PE,880,NATURALGAS22OCT880PE,NATURALGAS22OCT880PE,NATURALGAS 21OCT22 880 PE,2022-10-21,1250,0.05
MCX,mcx_fo,NATURALGAS,246046,OPTFUT,CE,885,NATURALGAS22OCT885CE,NATURALGAS22OCT885CE,NATURALGAS 21OCT22 885 CE,2022-10-21,1250,0.05
MCX,mcx_fo,NATURALGAS,246047,OPTFUT,PE,885,NATURALGAS22OCT885PE,NATURALGAS22OCT885PE,NATURALGAS 21OCT22 885 PE,2022-10-21,1250,0.05
